t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
2.236e-06,7.54428e-06,0.642462,279.756,60145.6,43664.1,7.54428e-06,-3.30143e-05
2.246e-06,7.55068e-06,0.637647,279.849,60012.6,43604.5,7.55068e-06,-3.28131e-05
2.256e-06,7.55703e-06,0.632775,279.942,59881.3,43547.3,7.55703e-06,-3.26105e-05
2.266e-06,7.56333e-06,0.627845,280.036,59751.7,43492.4,7.56333e-06,-3.24063e-05
2.276e-06,7.56959e-06,0.622856,280.13,59623.7,43439.7,7.56959e-06,-3.22007e-05
2.286e-06,7.57579e-06,0.617808,280.224,59497.3,43389.3,7.57579e-06,-3.19935e-05
2.296e-06,7.58194e-06,0.6127,280.319,59372.6,43341.2,7.58194e-06,-3.17848e-05
2.306e-06,7.58804e-06,0.60753,280.414,59249.6,43295.4,7.58804e-06,-3.15744e-05
2.316e-06,7.59409e-06,0.602298,280.51,59128.2,43251.9,7.59409e-06,-3.13625e-05
2.326e-06,7.60009e-06,0.597003,280.606,59008.5,43210.6,7.60009e-06,-3.11489e-05
2.336e-06,7.60603e-06,0.591643,280.702,58890.5,43171.7,7.60603e-06,-3.09336e-05
2.346e-06,7.61192e-06,0.586219,280.799,58774.1,43135.1,7.61192e-06,-3.07167e-05
2.356e-06,7.61776e-06,0.58073,280.896,58659.4,43100.7,7.61776e-06,-3.0498e-05
2.366e-06,7.62354e-06,0.575173,280.994,58546.5,43068.7,7.62354e-06,-3.02776e-05
2.376e-06,7.62926e-06,0.56955,281.093,58435.2,43038.9,7.62926e-06,-3.00554e-05
2.386e-06,7.63493e-06,0.563857,281.191,58325.6,43011.5,7.63493e-06,-2.98314e-05
2.396e-06,7.64054e-06,0.558096,281.291,58217.7,42986.4,7.64054e-06,-2.96055e-05
2.406e-06,7.64609e-06,0.552264,281.39,58111.6,42963.5,7.64609e-06,-2.93778e-05
2.416e-06,7.65158e-06,0.546362,281.491,58007.1,42943,7.65158e-06,-2.91482e-05
2.426e-06,7.65702e-06,0.540388,281.591,57904.4,42924.8,7.65702e-06,-2.89166e-05
2.436e-06,7.66239e-06,0.534341,281.693,57803.5,42908.9,7.66239e-06,-2.86831e-05
2.446e-06,7.6677e-06,0.52822,281.795,57704.2,42895.2,7.6677e-06,-2.84476e-05
2.456e-06,7.67295e-06,0.522025,281.897,57606.8,42883.9,7.67295e-06,-2.82101e-05
2.466e-06,7.67814e-06,0.515755,282,57511,42874.9,7.67814e-06,-2.79705e-05
2.476e-06,7.68327e-06,0.509409,282.104,57417.1,42868.2,7.68327e-06,-2.77288e-05
2.486e-06,7.68833e-06,0.502986,282.208,57324.9,42863.9,7.68833e-06,-2.74851e-05
2.496e-06,7.69333e-06,0.496486,282.313,57234.5,42861.8,7.69333e-06,-2.72391e-05
2.506e-06,7.69826e-06,0.489906,282.419,57145.9,42862,7.69826e-06,-2.6991e-05
2.516e-06,7.70313e-06,0.483248,282.525,57059.1,42864.5,7.70313e-06,-2.67407e-05
2.526e-06,7.70792e-06,0.47651,282.632,56974.1,42869.4,7.70792e-06,-2.64881e-05
2.536e-06,7.71266e-06,0.46969,282.74,56891,42876.5,7.71266e-06,-2.62332e-05
2.546e-06,7.71732e-06,0.462789,282.848,56809.6,42886,7.71732e-06,-2.59761e-05
2.556e-06,7.72191e-06,0.455805,282.957,56730.2,42897.8,7.72191e-06,-2.57165e-05
2.566e-06,7.72643e-06,0.448738,283.067,56652.5,42911.9,7.72643e-06,-2.54546e-05
2.576e-06,7.73089e-06,0.441588,283.177,56576.8,42928.2,7.73089e-06,-2.51903e-05
