t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
1.936e-06,5.73525e-06,-0.0669403,295.504,144659,120470,5.73525e-06,4.41179e-06
1.946e-06,5.73457e-06,-0.0684713,295.498,144707,120514,5.73457e-06,4.39974e-06
1.956e-06,5.73388e-06,-0.0699948,295.494,144758,120557,5.73388e-06,4.39098e-06
1.966e-06,5.73317e-06,-0.0715061,295.491,144810,120600,5.73317e-06,4.38539e-06
1.976e-06,5.73245e-06,-0.0730006,295.49,144864,120642,5.73245e-06,4.38284e-06
1.986e-06,5.73171e-06,-0.0744737,295.491,144920,120683,5.73171e-06,4.3832e-06
1.996e-06,5.73096e-06,-0.075921,295.493,144979,120723,5.73096e-06,4.38634e-06
2.006e-06,5.73019e-06,-0.0773381,295.496,145038,120763,5.73019e-06,4.3921e-06
2.016e-06,5.72941e-06,-0.0787208,295.501,145100,120802,5.72941e-06,4.40036e-06
2.026e-06,5.72862e-06,-0.0800647,295.507,145163,120840,5.72862e-06,4.41095e-06
2.036e-06,5.72781e-06,-0.081366,295.514,145228,120877,5.72781e-06,4.42374e-06
2.046e-06,5.72699e-06,-0.0826206,295.522,145295,120913,5.72699e-06,4.43856e-06
2.056e-06,5.72616e-06,-0.0838247,295.531,145363,120949,5.72616e-06,4.45526e-06
2.066e-06,5.72531e-06,-0.0849747,295.542,145432,120984,5.72531e-06,4.47368e-06
2.076e-06,5.72446e-06,-0.086067,295.553,145503,121018,5.72446e-06,4.49367e-06
2.086e-06,5.72359e-06,-0.0870982,295.564,145575,121052,5.72359e-06,4.51506e-06
2.096e-06,5.72272e-06,-0.088065,295.577,145648,121084,5.72272e-06,4.53769e-06
2.106e-06,5.72183e-06,-0.0889644,295.59,145722,121116,5.72183e-06,4.56139e-06
2.116e-06,5.72094e-06,-0.0897934,295.603,145797,121147,5.72094e-06,4.58601e-06
2.126e-06,5.72004e-06,-0.0905492,295.617,145873,121177,5.72004e-06,4.61137e-06
2.136e-06,5.71913e-06,-0.0912292,295.632,145949,121207,5.71913e-06,4.63731e-06
2.146e-06,5.71821e-06,-0.0918309,295.646,146027,121235,5.71821e-06,4.66368e-06
2.156e-06,5.71729e-06,-0.0923521,295.661,146105,121263,5.71729e-06,4.6903e-06
2.166e-06,5.71636e-06,-0.0927906,295.676,146183,121290,5.71636e-06,4.71701e-06
2.176e-06,5.71543e-06,-0.0931445,295.69,146262,121317,5.71543e-06,4.74366e-06
2.186e-06,5.7145e-06,-0.093412,295.705,146341,121342,5.7145e-06,4.77007e-06
2.196e-06,5.71357e-06,-0.0935917,295.719,146420,121367,5.71357e-06,4.79611e-06
2.206e-06,5.71263e-06,-0.093682,295.733,146499,121391,5.71263e-06,4.8216e-06
2.216e-06,5.71169e-06,-0.0936819,295.747,146578,121414,5.71169e-06,4.8464e-06
2.226e-06,5.71076e-06,-0.0935902,295.76,146656,121436,5.71076e-06,4.87036e-06
2.236e-06,5.70982e-06,-0.0934062,295.773,146735,121458,5.70982e-06,4.89333e-06
2.246e-06,5.70889e-06,-0.0931292,295.785,146813,121479,5.70889e-06,4.91516e-06
2.256e-06,5.70796e-06,-0.0927587,295.797,146890,121499,5.70796e-06,4.93571e-06
2.266e-06,5.70703e-06,-0.0922945,295.807,146967,121518,5.70703e-06,4.95486e-06
2.276e-06,5.70611e-06,-0.0917365,295.817,147043,121536,5.70611e-06,4.97245e-06
2.286e-06,5.7052e-06,-0.0910848,295.826,147118,121554,5.7052e-06,4.98837e-06
2.296e-06,5.70429e-06,-0.0903396,295.834,147192,121571,5.70429e-06,5.00249e-06
2.306e-06,5.70339e-06,-0.0895015,295.841,147266,121587,5.70339e-06,5.01469e-06
2.316e-06,5.7025e-06,-0.088571,295.847,147338,121602,5.7025e-06,5.02486e-06
2.326e-06,5.70162e-06,-0.087549,295.852,147408,121616,5.70162e-06,5.03288e-06
2.336e-06,5.70075e-06,-0.0864364,295.855,147478,121630,5.70075e-06,5.03865e-06
2.346e-06,5.69989e-06,-0.0852345,295.857,147545,121643,5.69989e-06,5.04206e-06
2.356e-06,5.69905e-06,-0.0839444,295.858,147612,121655,5.69905e-06,5.04304e-06
2.366e-06,5.69821e-06,-0.0825678,295.858,147676,121666,5.69821e-06,5.04147e-06
2.376e-06,5.6974e-06,-0.0811062,295.856,147739,121676,5.6974e-06,5.03729e-06
2.386e-06,5.69659e-06,-0.0795615,295.853,147800,121686,5.69659e-06,5.03041e-06
2.396e-06,5.69581e-06,-0.0779355,295.848,147859,121695,5.69581e-06,5.02077e-06
2.406e-06,5.69503e-06,-0.0762304,295.842,147916,121703,5.69503e-06,5.0083e-06
2.416e-06,5.69428e-06,-0.0744484,295.834,147971,121710,5.69428e-06,4.99293e-06
2.426e-06,5.69355e-06,-0.0725918,295.824,148023,121716,5.69355e-06,4.97462e-06
2.436e-06,5.69283e-06,-0.070663,295.813,148073,121722,5.69283e-06,4.95331e-06
2.446e-06,5.69213e-06,-0.0686648,295.8,148122,121726,5.69213e-06,4.92898e-06
2.456e-06,5.69146e-06,-0.0665998,295.786,148167,121730,5.69146e-06,4.90157e-06
2.466e-06,5.6908e-06,-0.0644708,295.77,148210,121734,5.6908e-06,4.87107e-06
2.476e-06,5.69017e-06,-0.0622807,295.752,148251,121736,5.69017e-06,4.83746e-06
2.486e-06,5.68956e-06,-0.0600325,295.733,148289,121737,5.68956e-06,4.80071e-06
2.496e-06,5.68897e-06,-0.0577293,295.711,148324,121738,5.68897e-06,4.76083e-06
